Channel,X,Y,Z,Area
18,47.084078,41.583576,27.843744,rDLPFC
9,46.725986,53.149067,1.723056,rFPC
22,36.155292,39.803584,42.142409,rDLPFC
13,37.658311,58.539114,18.49926,rFPC
4,38.223341,63.018454,-7.026848,rFPC
17,25.747046,57.016317,32.91675,rDLPFC
8,26.877655,67.978052,8.451952,rFPC
21,13.133443,50.433804,45.722491,BA8
12,14.488323,67.953812,22.792863,mFPC
3,15.015942,71.070162,-3.319655,mFPC
16,1.509794,59.21966,34.097062,mFPC
7,2.131219,67.978056,9.09585,mFPC
20,-11.210699,50.382126,45.417447,BA8
11,-12.725279,66.79995,21.616029,mFPC
2,-12.873948,71.460889,-3.230511,mFPC
15,-23.406498,56.207268,32.665488,lDLPFC
6,-24.366285,67.884407,8.477658,lFPC
19,-34.525269,40.245482,41.747975,lDLPFC
10,-35.32287,57.945251,18.709098,lFPC
1,-35.862593,62.609066,-7.256426,lFPC
14,-45.007992,41.701729,27.390823,lDLPFC
5,-45.36683,52.591405,1.121479,lFPC
